É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2022/01/23 09:41:15,,,,,,,,,,,
,,,,,,,,,,,
,âHìc,âHìc,âHìc,âHìc,âHìc,âHìc,âHìc,âHìc,âHìc,âHìc,âHìc
îNåéì˙éû,ãCâ∑(Åé),ãCâ∑(Åé),ãCâ∑(Åé),ïóë¨(m/s),ïóë¨(m/s),ïóë¨(m/s),ïóë¨(m/s),ïóë¨(m/s),ëäëŒéºìx(Åì),ëäëŒéºìx(Åì),ëäëŒéºìx(Åì)
,,,,,,ïóå¸,ïóå¸,,,,
,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ
2022/1/14 1:00,3.9,8,1,7.2,8,ñkêº,8,1,,0,1
2022/1/14 2:00,2.4,8,1,5.5,8,ñkêº,8,1,,0,1
2022/1/14 3:00,2.2,8,1,7.5,8,ñkêº,8,1,,0,1
2022/1/14 4:00,2.6,8,1,6.8,8,ñkñkêº,8,1,,0,1
2022/1/14 5:00,2.8,8,1,8.7,8,ñkñkêº,8,1,,0,1
2022/1/14 6:00,2.1,8,1,5.3,8,ñkêº,8,1,,0,1
2022/1/14 7:00,1.6,8,1,5,8,ñkêº,8,1,,0,1
2022/1/14 8:00,2.8,8,1,4.8,8,ñkêº,8,1,,0,1
2022/1/14 9:00,4.2,8,1,2.9,8,ñkêº,8,1,,0,1
2022/1/14 10:00,5.5,8,1,3.5,8,êºñkêº,8,1,,0,1
2022/1/14 11:00,7,8,1,4.3,8,ñkêº,8,1,,0,1
2022/1/14 12:00,7.6,8,1,4,8,êºñkêº,8,1,,0,1
2022/1/14 13:00,8.8,8,1,5.8,8,êº,8,1,,0,1
2022/1/14 14:00,8.6,8,1,6.4,8,êºñkêº,8,1,,0,1
2022/1/14 15:00,8.6,8,1,8.3,8,ñkêº,8,1,,0,1
2022/1/14 16:00,7.9,8,1,8.5,8,ñkêº,8,1,,0,1
2022/1/14 17:00,6.8,8,1,8.4,8,ñkêº,8,1,,0,1
2022/1/14 18:00,6.3,8,1,9.7,8,ñkêº,8,1,,0,1
2022/1/14 19:00,5.7,8,1,10.1,8,ñkêº,8,1,,0,1
2022/1/14 20:00,5.1,8,1,10.8,8,ñkñkêº,8,1,,0,1
2022/1/14 21:00,5.1,8,1,8.4,8,ñkêº,8,1,,0,1
2022/1/14 22:00,5.2,8,1,10.3,8,ñkñkêº,8,1,,0,1
2022/1/14 23:00,4.8,8,1,8.7,8,ñkêº,8,1,,0,1
2022/1/15 0:00,4.1,8,1,5.5,8,ñkñkêº,8,1,,0,1
2022/1/15 1:00,3.6,8,1,3.9,8,ñkêº,8,1,,0,1
2022/1/15 2:00,3.2,8,1,4.1,8,ñkêº,8,1,,0,1
2022/1/15 3:00,2.9,8,1,2.1,8,êºñkêº,8,1,,0,1
2022/1/15 4:00,3.9,8,1,2.7,8,ñkêº,8,1,,0,1
2022/1/15 5:00,3.9,8,1,3.5,8,ñkêº,8,1,,0,1
2022/1/15 6:00,2.5,8,1,3,8,ñkêº,8,1,,0,1
2022/1/15 7:00,1.9,8,1,5.2,8,ñkêº,8,1,,0,1
2022/1/15 8:00,4.3,8,1,7.2,8,êºñkêº,8,1,,0,1
